date;type_d_evenement;titre;affluence;description;lieu;horaires;tarif;duree_de_visite;adapte_enfants;adapte_PMR;URL_source
30/09/2025;Expérience VR;RÉALITÉ VIRTUELLE - LES JARDINS DISPARUS DU ROI SOLEIL;Non applicable;Pour la première fois, le château de Versailles ouvre ses portes pour un extraordinaire voyage dans le temps en réalité virtuelle! Plongez en 1682 et suivez André Le Nôtre, le jardinier de Louis XIV, pour une visite inédite de jardins aujourd'hui disparus.;Non précisé;Non précisé;15.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Exposition;EXPOSITION/ LE DOMAINE DE MARLY - VERSAILLES ET MARLY SOUS TERRE;Non applicable;Du 14 juin au 12 octobre 2025, une exposition organisée par le Château de Versailles au Pavillon des chasses présidentielles dans le parc de Marly présente les principaux objets mis au jour lors de chantiers archéologiques menés à Versailles, à Trianon et à Marly depuis 1985, en amont de travaux de restauration ou pour des projets de recherches et d'études.;Pavillon des chasses présidentielles dans le parc de Marly;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Événement;Jardins Musicaux;Non applicable;Non précisé;LES JARDINS;Ouverts de 7h00 à 20h30;Non précisé;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LE PETIT TRIANON DE MARIE-ANTOINETTE;Non applicable;La Reine se voit offrir, en 1774, le Petit Trianon par Louis XVI. Le domaine deviendra son royaume.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - CHEZ LES FAVORITES DU ROI;Non applicable;Les favorites royales ont aussi fait l'histoire et la légende de Versailles.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - MARIE-ANTOINETTE EN PRIVÉ;Non applicable;La Reine fit aménager un petit appartement au rez-de-chaussée de la cour de Marbre, ces lieux, leurs mobiliers et objets d'art permettent d'évoquer le goût de la Reine.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - APPARTEMENTS PRIVÉS DES ROIS;Non applicable;Découvrez l'atmosphère intime et le décor raffiné des pièces à vivre : la salle à manger, le cabinet de la Pendule et le salon de jeux.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LE HAMEAU DE MARIE-ANTOINETTE À MARIE-LOUISE;Non applicable;Au fond du domaine, se dressent les chaumières du hameau construit par Richard Mique pour Marie-Antoinette. À redécouvrir grâce aux travaux de restauration.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Visite guidée;VISITE GUIDÉE - LIEUX CACHÉS;Non applicable;Portes dérobées, petits passages, appartements très privés... le château possède des lieux "cachés" où les souverains aimaient se retirer.;Non précisé;Non précisé;10.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Activité Famille;VISITE CONTÉE - MON TOUT PETIT JARDIN;Non applicable;Une visite en douceur pour une première découverte multisensorielle des jardins de Trianon.;Jardins de Trianon;Non précisé;10.00 €;Non précisé;Oui;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
30/09/2025;Billet combiné;PASSEPORT + PAUSE GOURMANDE (RESTAURANT LA PETITE VENISE);Non applicable;Ce billet donne accès à l'ensemble du domaine de Versailles et à un déjeuner au restaurant la Petite Venise.;Domaine de Versailles et La Petite Venise;Non précisé;108.00 €;Non précisé;Non précisé;Non précisé;https://www.chateauversailles.fr/actualites/agenda-chateau-versailles/fr-2025-09-30
